,tpm
AC006042.1,7.24265
AC006042.2,1.1218
AC006042.3,2.44116
AC006042.4,0.851883
AC006043.1,0
AC006055.1,0
AC006058.1,3.63457
AC006058.2,0
AC006058.3,0.264752
AC006058.4,0
AC006059.1,2.19375
AC006059.2,0.128261
AC006059.3,0
AC006063.1,0
AC006063.2,0.011103
AC006064.1,1.86886
AC006064.2,0.512599
AC006064.3,1.01045
AC006064.4,5.26962
AC006064.5,0
AC006064.6,0
AC006065.1,0.0539891
AC006065.2,0
AC006065.3,0
AC006065.4,1.56819
AC006065.5,0
AC006065.6,0
AC006076.1,0
AC006077.1,0
AC006077.2,0
AC006111.1,0
AC006111.2,0.453659
AC006111.3,0.566017
AC006115.1,0.702116
AC006115.2,0
AC006115.3,0
AC006116.1,0.0253859
AC006116.10,0.110626
AC006116.2,0.0208303
AC006116.3,0
AC006116.4,0.505207
AC006116.5,0.39747
AC006116.6,0.129044
AC006116.7,0
AC006116.8,0.1783009
AC006116.9,0.3393291
AC006122.1,0.265501
AC006128.1,0
AC006130.1,0
AC006130.2,0
AC006133.1,0
AC006141.1,0.12815
AC006144.1,0.179649
AC006145.1,1.893161
AC006146.1,0.406428
AC006148.1,0.0641279
AC006148.2,0
AC006150.1,0
AC006153.1,0
AC006157.1,2.97965
AC006158.1,0
AC006159.1,0.159504
AC006159.2,0
AC006160.1,1.11895
AC006160.2,0
AC006195.1,0.0452276
AC006197.1,0
